Account_Number,DOE,Invoice_Number,Invoice_Date,Due_Date,Invoice_Amount,Paid_Date,Paid_Amount,Payment_Terms,Invoice_Type,Currency,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
CUST-001,2024-03-31,INV-2024-0001,2024-01-15,2024-02-14,15000.0,2024-02-10,15000.0,Net 30,PAID,USD,invoices_exact.csv,1,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-001,2024-03-31,INV-2024-0002,2024-01-22,2024-02-21,8750.5,,0.0,Net 30,OPEN,USD,invoices_exact.csv,2,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-002,2024-03-31,INV-2024-0003,2024-01-10,2024-04-10,42000.0,2024-04-08,42000.0,Net 90,PAID,GBP,invoices_exact.csv,3,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-003,2024-03-31,INV-2024-0004,2024-02-01,2024-03-02,5200.0,,0.0,Net 30,OPEN,EUR,invoices_exact.csv,4,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-004,2024-03-31,INV-2024-0005,2024-02-14,2024-03-15,29875.0,2024-03-20,29875.0,Net 30,PAID,USD,invoices_exact.csv,5,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-005,2024-03-31,INV-2024-0006,2024-02-28,2024-03-29,11250.0,,5000.0,Net 30,OPEN,AUD,invoices_exact.csv,6,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-006,2024-03-31,INV-2024-0007,2024-01-05,2024-03-05,67000.0,2024-03-01,67000.0,Net 60,PAID,CAD,invoices_exact.csv,7,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-007,2024-03-31,INV-2024-0008,2024-03-01,2024-03-31,3400.0,,0.0,Net 30,OPEN,SGD,invoices_exact.csv,8,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-002,2024-03-31,INV-2024-0009,2024-03-10,2024-06-08,18500.0,,0.0,Net 90,OPEN,GBP,invoices_exact.csv,9,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
CUST-008,2024-03-31,INV-2024-0010,2024-02-20,2024-03-21,9900.0,2024-03-18,9900.0,Net 30,PAID,ZAR,invoices_exact.csv,10,UNKNOWN,csv,62de2021-e063-4a30-9a1b-5fd64a4fc37b,ACTIVE,1,2026-04-05T14:53:14.401553+00:00,2026-04-05T14:53:14.401553+00:00,20aca058-beb0-4aa2-937e-d154dbb35e87,20aca058-beb0-4aa2-937e-d154dbb35e87,DataIngestionPOC-1.0
